genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_diff_in_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,,,
BRAUNER_SCHNITTKOHL,BR017-206,tenminusfive,2,3,2.9590162,23.05532221,28.1958815,2.01190972,-10.43460758,-1.589407821,-8.15096918,24.56528733,31.77911997,0,-7.5502778,-10.50929398,0,0.9590162,0,1,-31,-32,-1745,-61697.5,439.9125,2,0,-2,-1,,,,,,,,,,,,,,
CHEMBERE_DZAGUMHANA,BR017-207,tenminusfive,1,1,0.00032407,,,,,,,,,,,,0,-2.99967593,0,3,,,,,,3,3,0,0,,,,,,,,,,,,,,
CHEMBERE_DZAGUMHANA,BR017-207,tenminusfive,1,2,4.25688657,,,,,,,,,,,,0,2.25688657,0,4,,,,,,2,5,3,2,,,,,,,,,,,,,,
CHEMBERE_DZAGUMHANA,BR017-207,tenminusfive,2,3,6.03427083,,,,,,,,,,,,0,-0.96572917,0,7,,,,,,7,7,0,0,,,,,,,,,,,,,,
COUVE_NABICA,BR017-208,tenminusfive,1,1,0.00032407,,,,,,,,,,,,0,0.00032407,0,,,,,,,0,-2,-2,,,,,,,,,,,,,,,
COUVE_NABICA,BR017-208,tenminusfive,1,2,1.00225695,,,,,,,,,,,,0,1.00225695,0,-3,,,,,,0,-4,-4,-3,,,,,,,,,,,,,,
COUVE_NABICA,BR017-208,tenminusfive,2,3,0.00157408,,,,,,,,,,,,0,-1.99842592,0,-8,,,,,,2,-4,-6,-10,,,,,,,,,,,,,,
RAGGED_JACK,BR017-209,tenminusfive,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAGGED_JACK,BR017-209,tenminusfive,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAGGED_JACK,BR017-209,tenminusfive,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAPSKA_SLAPY,BR017-212,tenminusfive,1,1,24.81226854,-2.56117924,-11.1937203,28.27174771,-10.13999011,0.683874228,-2.829112158,-61.43591746,-21.09708217,-544,12.9864236,-11.82584491,0,5.81226854,0,29,-7,-36,-7309,-72577.5,-1275.608108,19,28,9,10,,,,,,,,,,,,,,
SLAPSKA_SLAPY,BR017-212,tenminusfive,1,2,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,
SLAPSKA_SLAPY,BR017-212,tenminusfive,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
